,col1,col2,col3,col4,date_of_birth
105,105,45,90,105,2018-01-20
106,106,79,91,106,1997-07-13
107,107,80,71,107,1984-01-04
108,108,81,92,108,2001-10-15
109,109,82,93,109,1951-06-16
110,110,81,94,110,2011-10-14
111,111,83,95,111,2003-12-21
112,112,8,96,112,1989-05-08
113,113,63,65,113,1923-09-03
114,114,84,97,114,1980-02-16
115,115,50,98,115,1983-08-28
116,116,33,99,116,2023-06-02
117,117,7,3,117,1955-10-21
118,118,68,100,118,1956-03-19
119,119,85,64,119,1938-07-17
120,120,86,68,120,1972-10-30
121,121,87,28,121,1981-12-04
122,122,88,101,122,1930-10-19
123,123,89,102,123,1993-11-03
124,124,90,103,124,1975-04-19
125,125,13,104,125,1965-08-29
126,126,91,105,126,1942-10-19
127,127,81,106,127,1992-05-26
128,128,33,107,128,2024-03-09
129,129,92,108,129,1987-03-13
130,130,8,2,130,1975-05-07
131,131,9,109,131,2001-11-26
132,132,93,110,132,1926-02-10
133,133,42,111,133,2017-12-02
134,134,94,12,134,2000-05-04
135,135,95,112,135,1991-03-30
136,136,1,113,136,1980-10-14
137,137,96,114,137,2020-07-02
138,138,97,115,138,1955-02-16
139,139,98,116,139,1918-06-28
140,140,99,117,140,1992-10-27
141,141,8,118,141,2017-07-06
142,142,100,119,142,2007-12-03
143,143,101,120,143,2011-08-05
144,144,102,121,144,1976-01-22
145,145,42,122,145,1954-01-05
146,146,3,83,146,2023-02-03
147,147,103,64,147,1958-06-06
148,148,104,15,148,1997-06-16
149,149,96,123,149,1965-07-01
150,150,95,124,150,1971-06-14
151,151,105,125,151,1992-10-28
152,152,106,126,152,1956-07-14
153,153,107,127,153,1940-04-02
154,154,9,128,154,1974-10-14
155,155,24,129,155,1974-10-18
156,156,15,130,156,1945-11-02
157,157,108,131,157,1952-02-17
158,158,74,132,158,1960-01-02
159,159,109,99,159,1938-10-11
160,160,110,133,160,1924-11-08
161,161,111,134,161,2009-08-08
162,162,36,135,162,1980-06-30
163,163,112,136,163,1930-09-17
164,164,113,93,164,1954-03-21
165,165,39,100,165,1932-12-16
166,166,114,137,166,1985-02-25
167,167,115,138,167,1950-06-02
168,168,116,139,168,1970-01-15
169,169,117,140,169,1928-10-24
170,170,118,141,170,1993-07-16
171,171,81,142,171,1979-02-28
172,172,119,143,172,1956-08-10
173,173,20,144,173,1924-05-18
174,174,24,145,174,1975-10-23
175,175,120,146,175,1934-03-30
176,176,121,97,176,1920-07-13
177,177,122,147,177,1971-12-21
178,178,121,148,178,1909-08-22
179,179,74,149,179,1999-07-11
180,180,123,150,180,1981-09-22
181,181,124,78,181,1976-07-14
182,182,28,151,182,1957-11-23
183,183,60,152,183,1923-12-20
184,184,125,153,184,2024-08-13
185,185,126,52,185,1964-05-08
186,186,0,154,186,1952-08-04
187,187,127,111,187,1946-04-19
188,188,36,155,188,1983-01-27
189,189,74,156,189,1937-08-13
190,190,128,157,190,2014-03-29
191,191,129,158,191,2014-02-27
192,192,130,159,192,1963-09-01
193,193,131,123,193,1996-07-13
194,194,48,92,194,1940-06-26
195,195,132,32,195,1986-11-18
196,196,133,160,196,1979-01-16
197,197,72,161,197,2014-11-14
198,198,18,162,198,1919-08-05
199,199,134,163,199,1991-05-01
200,200,49,82,200,2012-05-03
201,201,52,164,201,2017-01-28
202,202,41,28,202,2022-01-01
203,203,135,150,203,1912-11-10
204,204,136,165,204,1934-05-26
205,205,98,166,205,1923-04-08
206,206,137,167,206,1941-12-30
207,207,90,168,207,1936-05-26
208,208,138,169,208,1977-01-13
209,209,139,170,209,1946-02-02
210,210,121,7,210,1918-05-06
211,211,140,171,211,1950-10-31
212,212,7,172,212,1949-01-30
213,213,122,173,213,2012-06-01
214,214,25,79,214,1973-03-21
215,215,141,168,215,1987-09-26
216,216,142,73,216,1951-10-14
217,217,29,174,217,1914-08-23
218,218,143,51,218,1934-11-29
219,219,144,175,219,1937-03-16
220,220,108,176,220,1982-07-22
221,221,145,64,221,2000-08-26
222,222,52,62,222,1914-10-28
223,223,42,71,223,1948-09-22
224,224,124,83,224,2013-12-07
225,225,146,47,225,1919-02-03
226,226,147,177,226,1960-01-12
227,227,148,178,227,1916-01-27
228,228,135,4,228,1950-05-25
229,229,15,179,229,2020-04-23
230,230,149,180,230,1917-11-10
231,231,150,181,231,1956-08-10
232,232,50,182,232,2002-02-13
233,233,151,183,233,1961-07-15
234,234,13,184,234,1990-07-31
235,235,35,125,235,1920-07-17
236,236,15,185,236,1959-07-28
237,237,121,186,237,2021-11-05
238,238,114,155,238,1954-02-05
239,239,152,187,239,2001-11-02
240,240,26,93,240,1960-11-30
241,241,153,188,241,1927-03-03
242,242,19,178,242,2007-05-26
243,243,5,189,243,2009-03-08
244,244,101,190,244,1937-09-03
245,245,154,62,245,2015-05-08
246,246,155,191,246,1943-12-15
247,247,8,192,247,1963-05-24
248,248,156,193,248,1929-12-22
249,249,65,194,249,1946-11-13
250,250,157,195,250,1920-10-31
251,251,158,196,251,1965-08-12
252,252,24,133,252,2004-03-22
253,253,114,197,253,2001-06-07
254,254,154,165,254,1972-12-06
255,255,159,83,255,1938-06-30
256,256,160,115,256,1984-01-30
257,257,161,145,257,1951-06-17
258,258,159,198,258,1995-11-15
259,259,150,145,259,2017-10-03
260,260,93,199,260,1924-03-29
261,261,162,200,261,1975-12-20
262,262,163,201,262,1927-11-13
263,263,164,139,263,1982-06-02
264,264,165,34,264,1963-02-12
265,265,166,202,265,1920-06-12
266,266,72,203,266,1929-09-06
267,267,167,103,267,1960-04-30
268,268,154,204,268,1935-05-25
269,269,168,205,269,1948-02-17
270,270,169,206,270,2008-05-02
271,271,41,207,271,2020-12-13
272,272,170,104,272,1988-08-23
273,273,171,208,273,1961-01-23
274,274,135,209,274,1989-05-02
275,275,75,210,275,1925-07-22
276,276,25,125,276,1973-11-08
277,277,13,211,277,1992-02-22
278,278,172,84,278,1955-08-13
279,279,173,212,279,1916-06-30
280,280,104,213,280,1933-08-19
281,281,174,64,281,1936-10-12
282,282,175,62,282,1915-09-24
283,283,7,214,283,1965-12-02
284,284,87,215,284,2011-04-14
285,285,20,216,285,1970-07-27
286,286,176,217,286,2009-08-15
287,287,49,218,287,1942-04-19
288,288,79,219,288,1966-06-14
289,289,18,102,289,1991-11-27
290,290,34,220,290,1980-07-23
291,291,20,221,291,1988-01-07
292,292,51,6,292,1988-08-06
293,293,56,28,293,1947-03-24
294,294,84,4,294,1991-07-14
295,295,13,168,295,1983-07-11
296,296,59,222,296,1924-09-06
297,297,177,223,297,1967-10-04
298,298,178,224,298,1945-12-06
299,299,42,225,299,1961-10-14
300,300,29,220,300,1974-11-01
301,301,179,226,301,1914-10-21
302,302,180,227,302,2011-12-19
303,303,181,228,303,1971-03-21
304,304,182,82,304,1926-08-08
305,305,183,229,305,1945-02-09
306,306,184,225,306,1909-09-15
307,307,36,230,307,1975-08-15
308,308,117,62,308,1942-05-16
309,309,185,231,309,1908-12-21
310,310,8,232,310,1949-03-12
311,311,186,173,311,1985-12-16
312,312,187,15,312,1947-04-25
313,313,20,233,313,2000-04-27
314,314,60,234,314,1919-10-04
315,315,188,235,315,1941-03-18
316,316,189,76,316,1948-05-27
317,317,33,236,317,1910-09-22
318,318,190,237,318,1976-07-13
319,319,0,238,319,1997-10-23
320,320,191,59,320,1954-09-15
321,321,192,143,321,1983-10-10
322,322,42,34,322,1927-12-25
323,323,123,64,323,1933-12-09
324,324,15,239,324,1909-01-09
325,325,41,125,325,2020-01-13
326,326,71,240,326,1981-04-22
327,327,183,241,327,1988-11-06
328,328,193,67,328,1950-10-24
329,329,114,141,329,1958-08-29
330,330,169,242,330,1971-05-14
331,331,194,243,331,1997-10-03
332,332,195,224,332,1974-06-03
333,333,101,240,333,1950-02-24
334,334,33,244,334,1999-03-20
335,335,42,245,335,1927-12-31
336,336,196,43,336,1957-11-07
337,337,59,246,337,1963-03-02
338,338,45,247,338,1955-10-26
339,339,92,163,339,2004-01-21
340,340,54,78,340,1933-12-13
341,341,26,248,341,2014-02-03
342,342,197,249,342,1987-07-06
343,343,20,57,343,1976-09-13
344,344,35,77,344,1911-07-03
345,345,83,250,345,1913-05-02
346,346,198,159,346,1968-10-20
347,347,42,251,347,1951-11-12
348,348,12,79,348,1967-12-04
349,349,11,252,349,1953-07-04
350,350,199,147,350,1913-12-15
351,351,200,28,351,1995-12-08
352,352,201,253,352,1996-10-14
353,353,25,254,353,1992-04-29
354,354,202,89,354,1974-08-28
355,355,203,255,355,2020-05-21
356,356,54,242,356,1920-12-04
357,357,106,256,357,2021-04-16
358,358,204,106,358,1942-10-22
359,359,8,257,359,2008-05-31
360,360,170,258,360,2002-03-20
361,361,172,182,361,1956-07-18
362,362,161,130,362,1946-01-14
363,363,205,182,363,1961-08-24
364,364,206,37,364,1948-03-18
365,365,25,64,365,1988-08-12
366,366,19,259,366,1991-02-25
367,367,98,126,367,1993-09-07
368,368,207,164,368,1989-10-21
369,369,208,52,369,1995-09-16
370,370,35,260,370,1925-10-17
371,371,79,261,371,1966-10-18
372,372,79,103,372,2013-02-05
373,373,209,113,373,1974-01-14
374,374,210,21,374,1909-10-19
375,375,211,262,375,1948-01-23
376,376,212,263,376,1967-08-05
377,377,29,62,377,2010-11-20
378,378,179,264,378,1911-01-31
379,379,173,265,379,2001-05-16
380,380,108,266,380,1941-07-25
381,381,213,29,381,2010-06-12
382,382,58,267,382,1987-10-20
383,383,214,260,383,1983-04-03
384,384,2,83,384,1929-01-31
385,385,215,268,385,1915-07-12
386,386,216,187,386,1999-04-02
387,387,9,269,387,1971-06-13
388,388,146,270,388,1915-07-30
389,389,14,136,389,1993-10-18
390,390,71,271,390,2014-07-16
391,391,217,44,391,1958-05-14
392,392,114,83,392,1922-11-06
393,393,8,197,393,1924-09-07
394,394,9,21,394,1971-09-09
395,395,216,272,395,1948-02-09
396,396,114,110,396,1963-03-15
397,397,20,273,397,2003-12-28
398,398,207,274,398,1945-08-07
399,399,218,275,399,1932-04-24
400,400,83,276,400,1990-10-13
401,401,77,151,401,1918-12-01
402,402,204,277,402,1959-06-29
403,403,219,278,403,2013-06-10
404,404,24,80,404,1977-02-13
405,405,46,16,405,1924-04-22
406,406,214,279,406,2011-04-15
407,407,220,280,407,1988-12-12
408,408,84,97,408,1925-03-25
409,409,20,212,409,1993-09-03
410,410,174,281,410,2000-03-06
411,411,221,245,411,1953-11-23
412,412,222,97,412,1918-03-26
413,413,69,282,413,1948-01-02
414,414,8,28,414,1924-03-19
415,415,164,283,415,1934-01-14
416,416,181,284,416,1973-07-15
417,417,223,136,417,1972-04-02
418,418,224,285,418,2002-04-08
419,419,225,286,419,2014-02-01
420,420,163,146,420,1961-05-28
421,421,93,152,421,1972-06-06
422,422,226,287,422,2000-02-13
423,423,32,28,423,1981-06-28
424,424,112,288,424,1961-08-06
425,425,41,289,425,2016-07-19
426,426,2,123,426,1974-09-10
427,427,60,241,427,1917-01-08
428,428,82,152,428,1949-12-29
429,429,227,290,429,2012-07-03
430,430,228,39,430,1955-01-03
431,431,200,291,431,1924-11-10
432,432,33,43,432,1918-10-07
433,433,229,5,433,1931-02-15
434,434,18,292,434,1925-08-18
435,435,9,147,435,1940-03-03
436,436,230,132,436,1945-07-19
437,437,231,293,437,1934-06-27
438,438,200,153,438,1954-11-24
439,439,34,294,439,1931-09-24
440,440,185,226,440,2002-08-26
441,441,183,198,441,1922-08-03
442,442,185,264,442,1984-04-02
443,443,7,295,443,1953-02-18
444,444,232,296,444,1978-06-14
445,445,79,46,445,1966-07-09
446,446,175,83,446,1962-09-06
447,447,114,182,447,1916-05-31
448,448,24,297,448,1991-03-07
449,449,100,298,449,1998-11-03
450,450,201,299,450,1983-10-29
451,451,233,75,451,2017-05-16
452,452,9,71,452,1958-10-31
453,453,22,181,453,2005-07-10
454,454,234,300,454,1951-07-14
455,455,135,78,455,2015-06-02
456,456,75,301,456,1951-04-20
457,457,161,302,457,1955-12-30
458,458,60,82,458,1988-09-05
459,459,97,303,459,1958-04-18
460,460,235,304,460,1935-04-17
461,461,56,305,461,2022-01-30
462,462,236,286,462,2019-08-02
463,463,237,306,463,1923-01-10
464,464,1,83,464,1995-03-04
465,465,50,16,465,2023-06-27
466,466,36,307,466,1933-11-12
467,467,135,145,467,2017-07-31
468,468,24,308,468,1920-08-17
469,469,238,123,469,1944-02-13
470,470,111,168,470,1986-12-30
471,471,100,309,471,1994-06-23
472,472,239,46,472,2018-01-16
473,473,240,310,473,1951-10-30
474,474,241,311,474,1962-04-24
475,475,242,258,475,1945-01-17
476,476,58,312,476,2024-02-13
477,477,78,296,477,1996-02-19
478,478,71,313,478,2012-06-06
479,479,196,314,479,1933-07-21
480,480,34,48,480,2016-05-24
481,481,243,315,481,1934-08-30
482,482,244,316,482,1975-02-11
483,483,13,239,483,1985-06-01
484,484,245,317,484,1933-03-13
485,485,85,318,485,2002-03-27
486,486,200,319,486,1990-08-02
487,487,33,15,487,1995-11-24
488,488,23,310,488,2005-11-02
489,489,204,289,489,1986-11-23
490,490,18,320,490,1962-01-13
491,491,204,65,491,1911-01-13
492,492,246,321,492,1917-03-27
493,493,81,322,493,1924-01-09
494,494,24,323,494,1951-05-17
495,495,59,83,495,2017-07-31
496,496,32,2,496,1962-08-29
497,497,24,324,497,1971-05-27
498,498,202,325,498,1912-02-16
499,499,133,5,499,1953-02-05
500,500,57,326,500,1913-09-30
501,501,18,141,501,1919-05-01
502,502,185,56,502,1913-11-10
503,503,138,76,503,2001-08-17
504,504,57,28,504,1935-09-17
505,505,33,327,505,2009-09-18
506,506,247,37,506,2011-05-30
507,507,248,195,507,1971-12-15
508,508,249,328,508,1961-02-14
509,509,183,83,509,2001-10-26
510,510,250,130,510,1989-01-29
511,511,106,329,511,1950-01-28
512,512,34,330,512,1954-07-08
513,513,251,284,513,1988-04-12
514,514,207,331,514,1958-05-25
515,515,73,332,515,1939-07-31
516,516,11,333,516,1963-04-02
517,517,13,334,517,1982-07-28
518,518,9,136,518,1934-11-16
519,519,104,335,519,2017-12-06
520,520,98,336,520,2024-01-16
521,521,111,337,521,2004-04-28
522,522,252,100,522,1908-12-16
523,523,253,338,523,1994-01-10
524,524,154,71,524,1962-04-21
525,525,26,33,525,1937-08-27
526,526,65,147,526,1914-10-18
527,527,60,220,527,1942-06-18
528,528,8,164,528,1958-04-01
529,529,51,339,529,1942-09-28
530,530,254,71,530,1994-12-02
531,531,255,296,531,2004-11-13
532,532,256,340,532,1913-08-13
533,533,28,30,533,2023-12-19
534,534,74,146,534,1987-06-16
535,535,155,119,535,1978-03-03
536,536,7,77,536,1930-03-25
537,537,257,77,537,1926-05-11
538,538,167,341,538,2022-07-04
539,539,258,225,539,1947-09-24
540,540,201,182,540,1925-08-23
541,541,259,342,541,2019-08-06
542,542,200,64,542,1960-04-14
543,543,42,343,543,1935-10-13
544,544,24,88,544,1932-01-29
545,545,11,8,545,1977-10-10
546,546,146,344,546,1935-11-21
547,547,3,345,547,1942-06-05
548,548,260,346,548,1968-01-15
549,549,261,347,549,2003-11-28
550,550,13,92,550,1922-07-24
551,551,20,348,551,1992-12-27
552,552,90,145,552,1981-01-20
553,553,114,239,553,1909-05-21
554,554,262,349,554,1914-02-18
555,555,84,79,555,2022-03-24
556,556,145,350,556,1954-12-03
557,557,254,350,557,1938-12-16
558,558,23,351,558,1947-08-21
559,559,33,352,559,1976-11-22
560,560,75,225,560,2010-09-10
561,561,263,188,561,1950-05-30
562,562,7,103,562,1933-05-01
563,563,264,71,563,1991-11-11
564,564,201,133,564,1935-06-19
565,565,202,353,565,1983-12-21
566,566,90,68,566,1966-06-27
567,567,211,47,567,1929-03-24
568,568,265,344,568,1964-07-03
569,569,266,28,569,1947-10-06
570,570,267,196,570,1962-01-31
571,571,24,354,571,1973-06-22
572,572,242,145,572,1996-02-11
573,573,268,37,573,1963-07-21
574,574,81,5,574,2005-05-15
575,575,269,355,575,2009-11-08
576,576,8,20,576,2007-06-28
577,577,270,356,577,1955-09-01
578,578,26,254,578,1999-04-25
579,579,54,357,579,1992-12-13
580,580,42,358,580,1911-01-19
581,581,84,359,581,1922-06-26
582,582,271,283,582,1939-06-04
583,583,90,360,583,1975-06-07
584,584,14,155,584,1984-03-07
585,585,272,361,585,1937-02-26
586,586,21,362,586,1958-05-20
587,587,81,251,587,1995-03-08
588,588,94,205,588,1941-09-07
589,589,34,164,589,1984-12-13
590,590,24,162,590,1953-03-15
591,591,7,18,591,2006-08-18
592,592,188,155,592,1954-12-20
593,593,100,168,593,2013-09-22
594,594,139,146,594,1919-11-12
595,595,273,164,595,1925-12-23
596,596,29,363,596,2014-11-14
597,597,274,364,597,2000-07-30
598,598,138,365,598,1914-07-29
599,599,226,366,599,1932-02-26
600,600,275,367,600,1986-06-15
601,601,98,368,601,1956-10-20
602,602,144,12,602,1989-01-16
603,603,8,324,603,1941-03-13
604,604,11,58,604,1975-11-02
605,605,276,369,605,1948-09-06
606,606,60,79,606,2013-05-28
607,607,65,93,607,1954-11-22
608,608,182,370,608,1909-05-07
609,609,154,371,609,1933-04-28
610,610,34,372,610,1910-09-12
611,611,34,33,611,1993-04-26
612,612,33,362,612,1930-12-23
613,613,254,373,613,1950-04-20
614,614,97,374,614,1993-04-08
615,615,184,195,615,1936-10-14
616,616,277,28,616,1935-07-15
617,617,278,139,617,1968-07-27
618,618,279,71,618,1929-12-10
619,619,225,375,619,1922-09-25
620,620,280,110,620,1964-01-25
621,621,200,206,621,2009-07-29
622,622,83,376,622,1971-02-06
623,623,281,377,623,1952-08-07
624,624,65,102,624,1955-06-11
625,625,65,378,625,1953-01-27
626,626,74,77,626,1915-07-13
627,627,54,379,627,2017-06-03
628,628,282,20,628,1909-11-11
629,629,58,380,629,1912-10-29
630,630,8,53,630,1960-03-02
631,631,101,51,631,1947-08-17
632,632,283,64,632,1919-12-01
633,633,97,226,633,1952-06-09
634,634,15,248,634,1957-10-18
635,635,9,381,635,2019-10-21
636,636,81,382,636,1918-07-14
637,637,132,383,637,1933-11-15
638,638,50,190,638,2004-01-23
639,639,74,165,639,1996-12-07
640,640,172,377,640,1921-10-05
641,641,90,384,641,1969-08-04
642,642,65,134,642,1971-01-30
643,643,72,211,643,1967-04-02
644,644,284,32,644,1957-11-19
645,645,60,123,645,2023-01-05
646,646,51,385,646,1999-05-05
647,647,49,386,647,1992-01-31
648,648,72,387,648,1935-04-30
649,649,167,388,649,1980-08-14
650,650,122,136,650,1970-10-19
651,651,98,311,651,1963-10-12
652,652,224,123,652,2018-05-24
653,653,0,389,653,1970-10-12
654,654,285,43,654,1966-06-01
655,655,15,361,655,2013-12-20
656,656,121,390,656,1918-05-15
657,657,243,391,657,2003-12-04
658,658,2,122,658,1953-02-24
659,659,286,392,659,2023-07-24
660,660,0,210,660,1939-12-03
661,661,74,125,661,2014-11-09
662,662,170,32,662,1926-07-20
663,663,203,361,663,1998-07-15
664,664,287,393,664,2008-06-07
665,665,288,329,665,1952-08-03
666,666,108,37,666,1988-04-07
667,667,206,394,667,2001-08-03
668,668,207,43,668,1997-10-14
669,669,184,71,669,1983-02-11
670,670,229,395,670,1918-06-30
671,671,289,396,671,1945-02-14
672,672,198,123,672,1976-11-05
673,673,181,397,673,1971-02-18
674,674,100,78,674,2017-07-27
675,675,73,398,675,1927-12-19
676,676,114,103,676,1955-09-02
677,677,114,145,677,1930-07-28
678,678,74,125,678,2023-09-26
679,679,290,399,679,1920-03-06
680,680,185,185,680,1943-04-21
681,681,60,400,681,1999-08-24
682,682,216,401,682,1908-11-08
683,683,291,2,683,1913-03-15
684,684,7,169,684,1985-04-17
685,685,90,161,685,1989-06-13
686,686,132,206,686,1962-01-10
687,687,292,225,687,1962-03-08
688,688,87,402,688,2011-01-25
689,689,15,2,689,1912-06-03
690,690,18,403,690,2001-07-21
691,691,293,404,691,1995-11-14
692,692,58,252,692,2008-06-04
693,693,13,197,693,1970-11-15
694,694,9,170,694,1964-12-21
695,695,270,58,695,1954-05-09
696,696,294,372,696,1935-12-19
697,697,244,77,697,1994-12-19
698,698,23,178,698,1990-04-30
699,699,104,201,699,1923-10-14
700,700,237,405,700,1964-01-18
701,701,81,402,701,1946-01-24
702,702,161,226,702,1916-03-17
703,703,154,366,703,2021-06-19
704,704,7,354,704,1972-10-16
705,705,84,37,705,2016-12-02
706,706,295,285,706,1989-09-25
707,707,94,33,707,1916-04-03
708,708,282,406,708,1958-08-09
709,709,45,398,709,1997-06-29
710,710,296,407,710,1975-06-05
711,711,111,249,711,2009-05-16
712,712,92,406,712,2018-12-29
713,713,185,408,713,1973-09-16
714,714,214,409,714,1951-12-03
715,715,265,67,715,1932-01-02
716,716,189,410,716,1960-11-12
717,717,203,411,717,2017-03-16
718,718,150,15,718,2014-01-04
719,719,60,225,719,1939-03-01
720,720,96,130,720,2017-01-24
721,721,92,182,721,1954-08-24
722,722,297,242,722,1915-07-02
723,723,298,83,723,1975-07-02
724,724,201,149,724,1974-03-22
725,725,8,161,725,1919-07-05
726,726,288,412,726,1985-03-29
727,727,55,64,727,1945-09-14
728,728,265,11,728,1909-04-28
729,729,59,402,729,2012-05-30
730,730,275,125,730,1931-01-10
731,731,159,92,731,2001-07-21
732,732,42,47,732,2017-09-13
733,733,299,33,733,1990-12-14
734,734,83,190,734,2010-02-15
735,735,300,35,735,1985-09-28
736,736,15,289,736,1942-05-01
737,737,301,329,737,1945-02-12
738,738,160,32,738,1960-11-06
739,739,118,413,739,1922-02-18
740,740,248,65,740,1970-06-15
741,741,128,414,741,1958-09-12
742,742,83,125,742,1934-10-02
743,743,302,415,743,1923-10-14
744,744,281,416,744,2010-05-25
745,745,303,226,745,1997-04-06
746,746,97,417,746,1924-02-09
747,747,135,351,747,1960-02-05
748,748,42,418,748,1979-11-10
749,749,33,83,749,1954-02-08
750,750,304,419,750,2024-06-28
751,751,191,226,751,1958-09-07
752,752,230,71,752,1990-06-06
753,753,46,146,753,2008-11-05
754,754,154,420,754,1983-04-07
755,755,8,130,755,1939-10-12
756,756,19,83,756,1982-12-02
757,757,63,226,757,1977-07-19
758,758,179,56,758,1919-09-24
759,759,34,205,759,1949-04-21
760,760,208,220,760,1996-05-18
761,761,82,421,761,1914-02-23
762,762,13,422,762,1991-06-25
763,763,13,37,763,1946-09-06
764,764,36,388,764,2017-02-09
765,765,163,266,765,1942-07-23
766,766,45,395,766,1958-11-11
767,767,305,423,767,2014-06-25
768,768,12,110,768,1920-02-12
769,769,91,122,769,1971-03-10
770,770,306,424,770,1985-06-08
771,771,154,5,771,1947-11-12
772,772,233,425,772,1921-09-20
773,773,254,400,773,1948-09-22
774,774,237,426,774,1944-02-09
775,775,105,108,775,1926-10-17
776,776,307,427,776,1994-06-15
777,777,9,15,777,2005-10-29
778,778,308,204,778,1990-04-08
779,779,110,428,779,1997-08-28
780,780,71,6,780,2000-01-18
781,781,242,429,781,1985-03-15
782,782,309,430,782,1953-11-27
783,783,173,382,783,1930-02-19
784,784,309,136,784,1938-05-10
785,785,207,431,785,1952-02-12
786,786,72,254,786,1976-04-04
787,787,20,375,787,2007-06-03
788,788,303,46,788,1925-02-10
789,789,83,432,789,1925-05-31
790,790,132,52,790,2001-02-22
791,791,310,433,791,1926-03-24
792,792,124,15,792,1935-02-24
793,793,72,79,793,2013-12-21
794,794,302,125,794,2014-08-16
795,795,270,434,795,1943-12-07
796,796,311,77,796,1949-02-11
797,797,69,344,797,1975-05-09
798,798,312,82,798,1956-02-25
799,799,11,40,799,1935-12-06
800,800,7,197,800,1917-02-12
801,801,45,209,801,1939-05-13
802,802,313,57,802,1921-04-20
803,803,275,435,803,1990-08-14
804,804,122,149,804,1912-05-03
805,805,314,195,805,1916-01-23
806,806,315,436,806,2004-04-09
807,807,42,339,807,2011-09-03
808,808,114,71,808,1909-09-23
809,809,65,67,809,1992-01-01
810,810,15,299,810,1992-09-04
811,811,18,437,811,1956-10-09
812,812,204,164,812,1943-01-29
813,813,62,266,813,1996-04-07
814,814,175,438,814,2018-12-31
815,815,316,439,815,1921-02-13
816,816,170,83,816,1977-04-16
817,817,200,440,817,1970-01-30
818,818,317,441,818,1917-09-07
819,819,108,123,819,1920-06-19
820,820,199,51,820,1936-10-27
